"SAP Buchungskreis";"order number";"article number";"article name"
"S216";"190418630";"2583350";"S 3233/52 SERIES 3000"
"S001";"190547930";"2161382";"FC 6172/01 POWERPRO DUO 2-IN-1, 25V"
"S006";"190678072";"2229923";"CA 6500/30 SENSEO LYCHEE PINK"
"M078";"190478302";"2457183";"SP 9820/18 S9000 PRESTIGE"
"M296";"190097795";"2716503";"BHD350/10 SERIES 3000 2100 W"
"M018";"190539846";"2312219";"SM 7580/00 XELSIS PIANO BLACK"
"M055";"190365646";"2395926";"HD 6563/60 SENSEO VIVA CAFÉ SW"
"M078";"190475214";"1591155";"FC 6149/01"
"M115";"190328486";"2494904";"HD 9762/90 AIRFRYER 1,4KG"
"S034";"190267661";"2457194";"HX 6839/28 PROTECTIVECLEAN WEISS"
"S303";"190525822";"2508141";"HX 9903/13 DIAMONDCLEAN SMART"
"M001";"190480644";"2457190";"HX 6807/35 PROTECTIVECLEAN 2ER-PACK"
"M138";"190424097";"2691535";"HX 6850/57"
"S020";"190428816";"2670816";"S 7788/55"
"S100";"190322834";"2161389";"HD 2637/90 2-SCHLITZ EDELSTAHL-SW"
"M014";"190429177";"2226511";"HR 3655/00 35.000 U/MIN. 1400W EDELSTAHL"
"M073";"190362461";"1387960";"HP 6341/00 LADYSHAVE WET & DRY (ONLY BATTERY)"
"M144";"190539299";"2519397";"SM 7683/10 XELSIS EDELSTAHL FRONT"
"M114";"190449803";"2229915";"HX 8432/01 AIRFLOSS ULTRA"
"S037";"320374449";"2670584";"HD 6562/32 SENSEO VIVA CAFE"
"M055";"190365646";"2712916";"CSA 240/20 SENSEO SELECT ECO"
"S009";"190407111";"2583346";"BRL175/00 PRESTIGE MIT PEDIKÜRE-AUFSATZ"
"S088";"190775388";"2583347";"BHD274/00 DRYCARE PRO 2200WATT"
"M115";"190328649";"1982796";"GC 9642/60 PERFECTCARE ELITE SILENCE"
"M145";"190344188";"2583342";"HX9601/02 EXPERTCLEAN BLACK"
"M177";"190365520";"2457193";"HX 6821/47 PROTECTIVECLEAN PROMO"
"S080";"190489351";"2658283";"BRI 959/00"
"M072";"190455485";"2607297";"HD 9260/90 AIRFRYER XL 1,2KG"
"M115";"190329530";"2667275";"HX 9914/57 DIAMONDCLEAN PREMIUM DP"
"M104";"981433686";"1735436";"HPS 930/00"
"M038";"190492119";"2583328";"HD9351/90 1,7L, 2200W, EDELSTAHL"
"M065";"190487003";"2208438";"HR 1949/20 AVANCE SLOW JUICER"
"M015";"190424958";"2457198";"SCF 883/01 BABYNAHRUNGSZUBEREITER"
"M219";"190394263";"2670811";"MG 5716/90"
"M260";"190200731";"2395962";"HD 6592/60 SENSEO SWITCH SCHWARZ"
"M086";"190446663";"2457191";"HX 6807/51 PROTECTIVECLEAN WEISS/MINT"
"M018";"190539469";"1980324";"NT 3160/10"
"M180";"190398281";"2670583";"HD 6554/22 SENSEO ORIGINAL"
"S323";"190333645";"2457162";"SCD 503/26 AUDIO-BABYPHONE"
"M065";"190486894";"2112390";"SCD 630/26"
"M146";"190434238";"2670375";"EP 5447/90"
"M014";"190426559";"2229891";"FC 9331/09 POWER PRO COMPACT"
"M188";"190496483";"2643589";"HX 8261/01 AIRFLOSS + ZUBEHÖR"
"M212";"190344787";"1884704";"HP 8280/00 MOISTURE PROTECT"
"S092";"190765217";"2161344";"HF 3531/01 WAKE-UP LIGHT, NACHTLICH"
"M230";"190413797";"2395804";"BG 3015/15 SERIES 3000"
"M219";"190394263";"1019418";"HD 7546/20 GAIA THERM"
"M217";"190420677";"2457189";"HX 8492/03 DIAMONDCLEAN/AIRFLOSS SW"
"S096";"190445981";"2589546";"68886800 HUE W E27 EINZEL 600LM FILAMENT ST64 BT"
"M162";"190383308";"2528076";"EP 3243/50 3200 LATTEGO W"
"M278";"190132172";"2583326";"GC 365/80 STEAM&GO PLUS 1300W"
"S041";"190403755";"2457169";"BG 7025/15 BODYGROOM SERIES 7000"
"S213";"190872858";"2457207";"GC 4549/00 AZUR 2500W GOLD"
"S030";"190248348";"2583349";"HC7650/15 SERIES 7000"
"S052";"190346917";"1980321";"HC 7460/15"
"S216";"190420361";"2312230";"HD 9652/90 AIRFRYER 1,4KG DIGITAL"
"M183";"1543090";"2457231";"FC 8782/09 PERFORMER SILENT 650W"
"M187";"190447117";"2457208";"GC 8930/10 PERFECTCARE EXPERT +/GRAU"
"S304";"190716499";"2735136";"S 9987/59 SHAVER 9000 DARK CHROME +"
"M111";"190412007";"2457197";"PR 3120/00 INFRACARE 300W"
"M015";"190425480";"2643590";"HX 8438/01 AIRFLOSS ULTRA + ZUB"
"M116";"190550926";"1883992";"HP 8232/20"
"M253";"190326718";"1676843";"HP 8230/00 THERMOPROTECT 2100W"
"S400";"190072581";"2663566";"T3215BK/00"
"M014";"190428619";"2528077";"FC 9555/09 POWERPRO ACTIVE"
"M188";"190496483";"1822510";"HX 6510/22"
"M219";"190394263";"2112359";"HX 6322/04"
"S042";"190338532";"2681394";"9321200 HD-KAMERA"
"M086";"190446663";"1290782";"QC 5115/15"
"M267";"190144322";"2112353";"S 3510/06"
"S071";"1835184";"2112398";"QP 6520/20"
"S213";"190872858";"2457202";"HD 9359/90 WASSERKOCHER EDELSTAHL"
"M141";"190321159";"2395805";"BG 5020/15 SERIES 5000"
"M206";"190313683";"2457172";"BRI 921/00 LUMEA IPL INKL. TRIMMER"
"M219";"190394263";"2528096";"BT 5502/15 SERIES 5000 SW/SILBER"
"M260";"190197871";"2583146";"HC5630/15 SERIES 5000"
"M147";"190400536";"2395851";"FC 6826/01 BRONZE SPEEDPRO MAX 25,2 V"
"M199";"190539000";"2716510";"BRI957/00 LUMEA SERIES 9000 INKL. 4 AUFSÄTZE"
"M088";"190603301";"2457184";"SP 9860/16 S9000 PRESTIGE M. LADEPAD"
"M235";"190381949";"1883996";"HP 8372/00"
"M294";"190141597";"2642927";"GC 4567/80 AZUR 2600W"
"M166";"190429466";"2312226";"BHB 876/00 PROCARE AUTO CURLER"
"S304";"190704061";"2312254";"GC 4937/20 AZUR ADVANCED 3000W"
"S328";"190248015";"1883979";"HP 6393/00"
"S004";"190696975";"2112376";"BRL 140/00"
"M085";"190514545";"2716507";"MG5730/15 ALL-IN-ONE TRIMMER 5000"
"M142";"190328737";"2457205";"GC 4537/80 AZUR 2400W SCHWARZ"
"S044";"190512447";"2457186";"S 9721/41 RASIERER SW/CHROM"
"S099";"190294688";"2528097";"BT 5515/15 SERIES 5000 MIT LADESTAND"
"S075";"190301757";"2716523";"DST5030/20 5000 SERIE 180G DAMPFSTOSS BLAU"
"M024";"190438494";"2457203";"GC 2997/40 POWERLIFE 2400W ROT"
"M171";"190320004";"2410929";"HC 3510/15 INKL. BARTKAMM SCHWARZ"
"S304";"190715711";"2716506";"MG3740/15 ALL-IN-ONE TRIMMER 3000"
"M200";"190396840";"2388509";"SM 5570/10 PICOBARISTO DELUXE"
"S087";"190346576";"2229904";"HD 5408/20 CAFÉ GOURMET SW"
"S095";"190331973";"2312207";"HD 6554/68 SENSEO ORIGINAL SW"
"M039";"190466389";"2583321";"XC8147/01 SPEEDPRO MAX+ AQUA"
"M260";"190198386";"2670818";"S 5588/30"
"M211";"190382140";"2229912";"HR 3556/00 27.000U/MIN 900W EDELS."
"M115";"190328496";"2312248";"FC 9741/09 POWERPRO EXPERT"
"M161";"190444259";"2259966";"HD 5408/10 CAFE GOURMET WEISS"
"M132";"190322897";"2528072";"EP 2220/10 2200 PANARELLO SW"
"S056";"190478319";"2528100";"SCD 733/26 AUDIO-BABYPHONE DECT"
"S042";"190338532";"1724800";"HX 6054/07 SENS. STD 4ER PACK"
"M015";"190425480";"2457188";"QP 6505/20 ONEBLADE PRO SW/GRÜN"
"M188";"190496483";"1930349";"HX6732/42 SONICARE HEALTHYWHITE"
"M024";"190438494";"1259162";"FC 6148/01 MINI VAC 10.8 V"
"M236";"190350372";"2528075";"EP 3246/70 3200 LATTEGO SW"
"S306";"190409060";"1724791";"HX 6511/22"
"M241";"190305895";"2716504";"QP6550/15 ONEBLADE PRO FACE & BODY"
"S097";"190416887";"2643594";"QP 6620/20 ONEBLADE PRO FACE + BODY"
"M111";"190413677";"2670813";"NT 5650/16"
"M018";"190540039";"2670831";"HX 8494/03"
"S098";"190502440";"2716530";"XC8347/01 SPEEDPRO MAX AQUA DOPPELDÜSE"
"M040";"190510299";"2583341";"HX9601/03 EXPERTCLEAN WHITE-GOLD"
"M115";"190331767";"2528071";"S 7960/17 SERIES 7000 ANTHRAZIT"
"M018";"190545368";"2410931";"HC 3530/15 INKL. BARTKAMM SILBER"
"S319";"190279585";"2528074";"EP 2231/40 2200 LATTEGO SW"
"M024";"190438494";"2643591";"HX 8438/03 AIRFLOSS ULTRA + ZUB SW"
"S037";"320372131";"2528098";"S 6640/44 SHAVER 6000 SW/SILBER"
"M218";"190333018";"1980322";"HC 9450/20"
"S009";"190406137";"2642973";"HR 3573/90 5000 SERIES 1000W + AUF"
"S087";"190347693";"2755444";"S 5584/57 SHAVER BUNDLE+BODYGROOM"
"S208";"190430769";"2670808";"BRE 700/00"
"M176";"190262053";"2457177";"S 5290/12 RASIERER SW/SILBER"
"M144";"190542628";"2528091";"HR 1856/70 ENTSAFTER (ZENTRIFUGAL) 800W"
"M103";"190584247";"2570479";"GC 7929/20 PERFECTCARE COMPACT+ BLAU"
"S004";"190696975";"2457171";"MG 7745/15 MULTIGROOM EDELSTAHL"
"S087";"190343726";"2583350";"S 3233/52 SERIES 3000"
"M024";"190438494";"2229923";"CA 6500/30 SENSEO LYCHEE PINK"
"M056";"190599299";"2457183";"SP 9820/18 S9000 PRESTIGE"
"M052";"190302357";"2612659";"HX 3212/01"
"M116";"190548584";"2312219";"SM 7580/00 XELSIS PIANO BLACK"
"M055";"190365646";"2395926";"HD 6563/60 SENSEO VIVA CAFÉ SW"
"M191";"190401018";"1591155";"FC 6149/01"
"M072";"190455483";"2494904";"HD 9762/90 AIRFRYER 1,4KG"
"M164";"190496333";"2457194";"HX 6839/28 PROTECTIVECLEAN WEISS"
"M188";"190497779";"2508141";"HX 9903/13 DIAMONDCLEAN SMART"
"M088";"190607887";"2457190";"HX 6807/35 PROTECTIVECLEAN 2ER-PACK"
"GW03";"206688392";"2691535";"HX 6850/57"
"M093";"9318670";"2670816";"S 7788/55"
"M262";"190209707";"2161389";"HD 2637/90 2-SCHLITZ EDELSTAHL-SW"
"M300";"190308483";"2226511";"HR 3655/00 35.000 U/MIN. 1400W EDELSTAHL"
"S009";"190407111";"1387960";"HP 6341/00 LADYSHAVE WET & DRY (ONLY BATTERY)"
"M062";"190511854";"2519397";"SM 7683/10 XELSIS EDELSTAHL FRONT"
"M171";"190320004";"2229915";"HX 8432/01 AIRFLOSS ULTRA"
"S010";"190385103";"2670584";"HD 6562/32 SENSEO VIVA CAFE"
"M076";"190456421";"2712916";"CSA 240/20 SENSEO SELECT ECO"
"M152";"190332030";"2583346";"BRL175/00 PRESTIGE MIT PEDIKÜRE-AUFSATZ"
"M220";"190325480";"2583347";"BHD274/00 DRYCARE PRO 2200WATT"
"M027";"190544773";"1982796";"GC 9642/60 PERFECTCARE ELITE SILENCE"
"M059";"190429443";"2583342";"HX9601/02 EXPERTCLEAN BLACK"
"M014";"190433224";"2457193";"HX 6821/47 PROTECTIVECLEAN PROMO"
"M057";"190427032";"2658283";"BRI 959/00"
"M254";"190298793";"2607297";"HD 9260/90 AIRFRYER XL 1,2KG"
"GW04";"314726611";"2667275";"HX 9914/57 DIAMONDCLEAN PREMIUM DP"
"M056";"190597835";"1735436";"HPS 930/00"
"M095";"190545175";"2583328";"HD9351/90 1,7L, 2200W, EDELSTAHL"
"M062";"190511608";"2208438";"HR 1949/20 AVANCE SLOW JUICER"
"S332";"190250980";"2457198";"SCF 883/01 BABYNAHRUNGSZUBEREITER"
"M114";"190449803";"2670811";"MG 5716/90"
"M176";"190266300";"2457191";"HX 6807/51 PROTECTIVECLEAN WEISS/MINT"
"S006";"190681267";"1980324";"NT 3160/10"
"M219";"190394263";"2670583";"HD 6554/22 SENSEO ORIGINAL"
"M248";"190366995";"2457162";"SCD 503/26 AUDIO-BABYPHONE"
"M014";"190426511";"2670375";"EP 5447/90"
"M212";"190342178";"2229891";"FC 9331/09 POWER PRO COMPACT"
"M188";"190496483";"2643589";"HX 8261/01 AIRFLOSS + ZUBEHÖR"
"M041";"190384508";"1884704";"HP 8280/00 MOISTURE PROTECT"
"M062";"190511621";"2161344";"HF 3531/01 WAKE-UP LIGHT, NACHTLICH"
"M046";"190372023";"2395804";"BG 3015/15 SERIES 3000"
"M249";"190159120";"1019418";"HD 7546/20 GAIA THERM"
"M065";"190486085";"2457189";"HX 8492/03 DIAMONDCLEAN/AIRFLOSS SW"
"M187";"190444129";"2528076";"EP 3243/50 3200 LATTEGO W"
"S208";"190430769";"2457169";"BG 7025/15 BODYGROOM SERIES 7000"
"M003";"190480569";"2583349";"HC7650/15 SERIES 7000"
"M038";"190491819";"2312230";"HD 9652/90 AIRFRYER 1,4KG DIGITAL"
"M224";"190282836";"2457231";"FC 8782/09 PERFORMER SILENT 650W"
"M255";"190353382";"2457208";"GC 8930/10 PERFECTCARE EXPERT +/GRAU"
"M183";"1552212";"2735136";"S 9987/59 SHAVER 9000 DARK CHROME +"
"S097";"190416888";"2643590";"HX 8438/01 AIRFLOSS ULTRA + ZUB"
"S092";"190767363";"1883992";"HP 8232/20"
"M265";"190161363";"1676843";"HP 8230/00 THERMOPROTECT 2100W"
"S020";"190426542";"2663566";"T3215BK/00"
"M172";"190431316";"2528077";"FC 9555/09 POWERPRO ACTIVE"
"M110";"190440502";"1822510";"HX 6510/22"
"M141";"190321159";"2112359";"HX 6322/04"
"M147";"190397322";"2653879";"TAR 8805/10"
"M086";"190446663";"1290782";"QC 5115/15"
"S006";"190681267";"2112353";"S 3510/06"
"S324";"194324507";"2112398";"QP 6520/20"
"M040";"190509496";"2457202";"HD 9359/90 WASSERKOCHER EDELSTAHL"
"M088";"190606488";"2395805";"BG 5020/15 SERIES 5000"
"S086";"191074083";"2457172";"BRI 921/00 LUMEA IPL INKL. TRIMMER"
"S307";"190533868";"2528096";"BT 5502/15 SERIES 5000 SW/SILBER"
"M083";"190377611";"2583146";"HC5630/15 SERIES 5000"
"S296";"190131199";"2395851";"FC 6826/01 BRONZE SPEEDPRO MAX 25,2 V"
"GW03";"206639451";"2716510";"BRI957/00 LUMEA SERIES 9000 INKL. 4 AUFSÄTZE"
"M095";"190544672";"2457184";"SP 9860/16 S9000 PRESTIGE M. LADEPAD"
"M147";"190397385";"1883996";"HP 8372/00"
"M210";"190499893";"2642927";"GC 4567/80 AZUR 2600W"
"M223";"190395951";"2312226";"BHB 876/00 PROCARE AUTO CURLER"
"M083";"190374150";"2312254";"GC 4937/20 AZUR ADVANCED 3000W"
"S076";"190850278";"1883979";"HP 6393/00"
"M248";"190366995";"2112376";"BRL 140/00"
"S315";"190414705";"2716507";"MG5730/15 ALL-IN-ONE TRIMMER 5000"
"S038";"330558116";"2457205";"GC 4537/80 AZUR 2400W SCHWARZ"
"S216";"190421067";"2457186";"S 9721/41 RASIERER SW/CHROM"
"S332";"190246987";"2528097";"BT 5515/15 SERIES 5000 MIT LADESTAND"
"M024";"190438494";"2716523";"DST5030/20 5000 SERIE 180G DAMPFSTOSS BLAU"
"S029";"190356072";"2457203";"GC 2997/40 POWERLIFE 2400W ROT"
"M183";"1550249";"2410929";"HC 3510/15 INKL. BARTKAMM SCHWARZ"
"M087";"190363421";"2716506";"MG3740/15 ALL-IN-ONE TRIMMER 3000"
"M028";"190416606";"2388509";"SM 5570/10 PICOBARISTO DELUXE"
"M107";"190529398";"2229904";"HD 5408/20 CAFÉ GOURMET SW"
"S084";"190384138";"2312207";"HD 6554/68 SENSEO ORIGINAL SW"
"M211";"190380990";"2583321";"XC8147/01 SPEEDPRO MAX+ AQUA"
"M165";"190333117";"2670818";"S 5588/30"
"M252";"190230458";"2229912";"HR 3556/00 27.000U/MIN 900W EDELS."
"M018";"190539253";"2312248";"FC 9741/09 POWERPRO EXPERT"
"M211";"190381287";"2259966";"HD 5408/10 CAFE GOURMET WEISS"
"M183";"1550168";"2528072";"EP 2220/10 2200 PANARELLO SW"
"S017";"190290441";"2528100";"SCD 733/26 AUDIO-BABYPHONE DECT"
"M162";"190386130";"1724800";"HX 6054/07 SENS. STD 4ER PACK"
"M015";"190422451";"2457188";"QP 6505/20 ONEBLADE PRO SW/GRÜN"
"M188";"190496483";"1930349";"HX6732/42 SONICARE HEALTHYWHITE"
"M306";"190267749";"1259162";"FC 6148/01 MINI VAC 10.8 V"
"M044";"190412498";"2528075";"EP 3246/70 3200 LATTEGO SW"
"M042";"190481976";"1724791";"HX 6511/22"
"S092";"190764676";"2716504";"QP6550/15 ONEBLADE PRO FACE & BODY"
"M312";"190105255";"2670813";"NT 5650/16"
"M241";"190303471";"2670831";"HX 8494/03"
"S098";"190502194";"2716530";"XC8347/01 SPEEDPRO MAX AQUA DOPPELDÜSE"
"M027";"190544741";"2583341";"HX9601/03 EXPERTCLEAN WHITE-GOLD"
"S086";"191074970";"2528071";"S 7960/17 SERIES 7000 ANTHRAZIT"
"M228";"190417166";"2410931";"HC 3530/15 INKL. BARTKAMM SILBER"
"S306";"190412158";"2528074";"EP 2231/40 2200 LATTEGO SW"
"M156";"190391023";"2643591";"HX 8438/03 AIRFLOSS ULTRA + ZUB SW"
"M116";"190548573";"2528098";"S 6640/44 SHAVER 6000 SW/SILBER"
"M115";"190329366";"1980322";"HC 9450/20"
"M125";"190374078";"2642973";"HR 3573/90 5000 SERIES 1000W + AUF"
"M169";"190423168";"2755444";"S 5584/57 SHAVER BUNDLE+BODYGROOM"
"M092";"190480870";"2670808";"BRE 700/00"
"M169";"190421860";"2457177";"S 5290/12 RASIERER SW/SILBER"
"M233";"190356782";"2528091";"HR 1856/70 ENTSAFTER (ZENTRIFUGAL) 800W"
"M018";"190539384";"2570479";"GC 7929/20 PERFECTCARE COMPACT+ BLAU"
"M248";"190366995";"2457171";"MG 7745/15 MULTIGROOM EDELSTAHL"
"S318";"190261089";"2583350";"S 3233/52 SERIES 3000"
"M040";"190511908";"2457183";"SP 9820/18 S9000 PRESTIGE"
"M052";"190302357";"2612659";"HX 3212/01"
"M053";"1666543";"2312219";"SM 7580/00 XELSIS PIANO BLACK"
"S085";"190293750";"2395926";"HD 6563/60 SENSEO VIVA CAFÉ SW"
"S004";"190695879";"1591155";"FC 6149/01"
"S318";"190261251";"2494904";"HD 9762/90 AIRFRYER 1,4KG"
"M164";"190496333";"2457194";"HX 6839/28 PROTECTIVECLEAN WEISS"
"M232";"190257567";"2508141";"HX 9903/13 DIAMONDCLEAN SMART"
"S306";"190409060";"2457190";"HX 6807/35 PROTECTIVECLEAN 2ER-PACK"
"M086";"190446663";"2673181";"HD 9318/20"
"M155";"190416942";"2670816";"S 7788/55"
"M115";"190331759";"2161389";"HD 2637/90 2-SCHLITZ EDELSTAHL-SW"
"M073";"190362737";"2226511";"HR 3655/00 35.000 U/MIN. 1400W EDELSTAHL"
"S012";"190798240";"1387960";"HP 6341/00 LADYSHAVE WET & DRY (ONLY BATTERY)"
"M197";"190504399";"2519397";"SM 7683/10 XELSIS EDELSTAHL FRONT"
"M153";"190451057";"2229915";"HX 8432/01 AIRFLOSS ULTRA"
"M210";"190499893";"2670584";"HD 6562/32 SENSEO VIVA CAFE"
"M315";"190080369";"2712916";"CSA 240/20 SENSEO SELECT ECO"
"M291";"190168247";"2583346";"BRL175/00 PRESTIGE MIT PEDIKÜRE-AUFSATZ"
"M061";"190379798";"2583347";"BHD274/00 DRYCARE PRO 2200WATT"
"M115";"190330459";"1982796";"GC 9642/60 PERFECTCARE ELITE SILENCE"
"M089";"190521593";"2583342";"HX9601/02 EXPERTCLEAN BLACK"
"M088";"190606488";"2457193";"HX 6821/47 PROTECTIVECLEAN PROMO"
"M166";"190427294";"2658283";"BRI 959/00"
"M115";"190328506";"2607297";"HD 9260/90 AIRFRYER XL 1,2KG"
"M127";"190494945";"2528094";"SCD 833/26 VIDEO BABYPHONE EINSTIEG"
"M042";"190481976";"1735436";"HPS 930/00"
"S007";"190404147";"2312253";"MG 7770/15 MULTIGROOM"
"M159";"190458474";"2208438";"HR 1949/20 AVANCE SLOW JUICER"
"M205";"190473827";"2457198";"SCF 883/01 BABYNAHRUNGSZUBEREITER"
"S073";"2329134";"2670811";"MG 5716/90"
"M103";"190585136";"2457191";"HX 6807/51 PROTECTIVECLEAN WEISS/MINT"
"S315";"190414705";"2670583";"HD 6554/22 SENSEO ORIGINAL"
"M132";"190325931";"2457162";"SCD 503/26 AUDIO-BABYPHONE"
"S400";"190074014";"2670375";"EP 5447/90"
"M200";"190397100";"2229891";"FC 9331/09 POWER PRO COMPACT"
"S061";"190417437";"2643589";"HX 8261/01 AIRFLOSS + ZUBEHÖR"
"M024";"190438494";"1884704";"HP 8280/00 MOISTURE PROTECT"
"S210";"190572858";"2161344";"HF 3531/01 WAKE-UP LIGHT, NACHTLICH"
"M224";"190281961";"2395804";"BG 3015/15 SERIES 3000"
"M301";"190285718";"1019418";"HD 7546/20 GAIA THERM"
"S217";"190277329";"2457167";"SCD 713/26 AUDIO-BABYPHONE"
"M173";"190507563";"2528076";"EP 3243/50 3200 LATTEGO W"
"M144";"190541346";"2457169";"BG 7025/15 BODYGROOM SERIES 7000"
"M304";"190282574";"2583349";"HC7650/15 SERIES 7000"
"M115";"190328659";"2312230";"HD 9652/90 AIRFRYER 1,4KG DIGITAL"
"M227";"190426132";"2457231";"FC 8782/09 PERFORMER SILENT 650W"
"S098";"190501054";"2457208";"GC 8930/10 PERFECTCARE EXPERT +/GRAU"
"M173";"190507566";"2735136";"S 9987/59 SHAVER 9000 DARK CHROME +"
"M188";"190496483";"2643590";"HX 8438/01 AIRFLOSS ULTRA + ZUB"
"S080";"190488951";"1883992";"HP 8232/20"
"M104";"981433686";"1676843";"HP 8230/00 THERMOPROTECT 2100W"
"M036";"190316884";"2663566";"T3215BK/00"
"M173";"190507811";"2528077";"FC 9555/09 POWERPRO ACTIVE"
"M227";"190428242";"1822510";"HX 6510/22"
"M116";"190550093";"2112359";"HX 6322/04"
"M168";"190425719";"2653879";"TAR 8805/10"
"M086";"190446663";"1290782";"QC 5115/15"
"M172";"190430695";"2112353";"S 3510/06"
"M116";"190550926";"2112398";"QP 6520/20"
"M155";"190415564";"2312233";"BHH 822/00 MULTISTYLER"
"M174";"190405313";"2395805";"BG 5020/15 SERIES 5000"
"M201";"190377572";"2457172";"BRI 921/00 LUMEA IPL INKL. TRIMMER"
"M183";"1552212";"2528096";"BT 5502/15 SERIES 5000 SW/SILBER"
"M063";"190289398";"2583146";"HC5630/15 SERIES 5000"
"S102";"190479033";"2395851";"FC 6826/01 BRONZE SPEEDPRO MAX 25,2 V"
"M147";"190397413";"2716510";"BRI957/00 LUMEA SERIES 9000 INKL. 4 AUFSÄTZE"
"M233";"190357868";"2457184";"SP 9860/16 S9000 PRESTIGE M. LADEPAD"
"M172";"190430695";"1883996";"HP 8372/00"
"M210";"190499893";"2642927";"GC 4567/80 AZUR 2600W"
"S060";"190478469";"2312226";"BHB 876/00 PROCARE AUTO CURLER"
"M107";"190528807";"2312254";"GC 4937/20 AZUR ADVANCED 3000W"
"S076";"190850278";"1883979";"HP 6393/00"
"M170";"190454313";"2112376";"BRL 140/00"
"S012";"190793028";"2716507";"MG5730/15 ALL-IN-ONE TRIMMER 5000"
"M068";"190516872";"2457205";"GC 4537/80 AZUR 2400W SCHWARZ"
"S331";"190261443";"2457186";"S 9721/41 RASIERER SW/CHROM"
"S069";"190349121";"2528097";"BT 5515/15 SERIES 5000 MIT LADESTAND"
"S082";"190770650";"2716523";"DST5030/20 5000 SERIE 180G DAMPFSTOSS BLAU"
"M119";"190477649";"2457203";"GC 2997/40 POWERLIFE 2400W ROT"
"M305";"190145571";"2410929";"HC 3510/15 INKL. BARTKAMM SCHWARZ"
"M312";"190105255";"2716506";"MG3740/15 ALL-IN-ONE TRIMMER 3000"
"M129";"190480712";"2388509";"SM 5570/10 PICOBARISTO DELUXE"
"S053";"190355448";"2229904";"HD 5408/20 CAFÉ GOURMET SW"
"M068";"190516872";"2312207";"HD 6554/68 SENSEO ORIGINAL SW"
"M072";"190457180";"2583321";"XC8147/01 SPEEDPRO MAX+ AQUA"
"M043";"190330710";"2670818";"S 5588/30"
"M189";"190490488";"2229912";"HR 3556/00 27.000U/MIN 900W EDELS."
"M018";"190539251";"2312248";"FC 9741/09 POWERPRO EXPERT"
"S210";"190572856";"2528072";"EP 2220/10 2200 PANARELLO SW"
"S069";"190349197";"2528100";"SCD 733/26 AUDIO-BABYPHONE DECT"
"M149";"190460614";"1724800";"HX 6054/07 SENS. STD 4ER PACK"
"S044";"190512447";"2457188";"QP 6505/20 ONEBLADE PRO SW/GRÜN"
"M110";"190440502";"1930349";"HX6732/42 SONICARE HEALTHYWHITE"
"M016";"190395014";"1259162";"FC 6148/01 MINI VAC 10.8 V"
"M053";"1666547";"2528075";"EP 3246/70 3200 LATTEGO SW"
"S104";"190398395";"1724791";"HX 6511/22"
"M187";"190448059";"2716504";"QP6550/15 ONEBLADE PRO FACE & BODY"
"M018";"190538342";"2643587";"EP 2220/40"
"M202";"190469398";"2670831";"HX 8494/03"
"M233";"190358153";"2583341";"HX9601/03 EXPERTCLEAN WHITE-GOLD"
"M116";"190550926";"2410931";"HC 3530/15 INKL. BARTKAMM SILBER"
"M291";"190161747";"2528074";"EP 2231/40 2200 LATTEGO SW"
"M074";"2315754";"2643591";"HX 8438/03 AIRFLOSS ULTRA + ZUB SW"
"M188";"190496483";"2528098";"S 6640/44 SHAVER 6000 SW/SILBER"
"M007";"190397511";"1980322";"HC 9450/20"
"M024";"190439442";"2642973";"HR 3573/90 5000 SERIES 1000W + AUF"
"S044";"190520653";"2670808";"BRE 700/00"
"M102";"190470890";"2457177";"S 5290/12 RASIERER SW/SILBER"
"M296";"190097275";"2528091";"HR 1856/70 ENTSAFTER (ZENTRIFUGAL) 800W"
"M092";"190482555";"2570479";"GC 7929/20 PERFECTCARE COMPACT+ BLAU"
"M014";"190426559";"2457171";"MG 7745/15 MULTIGROOM EDELSTAHL"
"S318";"190261089";"2583350";"S 3233/52 SERIES 3000"
"S018";"190276534";"2606592";"EP 3221/40 3200 MATT-SCHWARZ/EDELSTAHL PANARELLO"
"S036";"310364657";"2612659";"HX 3212/01"
"S042";"190338359";"2312219";"SM 7580/00 XELSIS PIANO BLACK"
"M158";"190439499";"2395926";"HD 6563/60 SENSEO VIVA CAFÉ SW"
"M142";"190328737";"1591155";"FC 6149/01"
"M212";"190344053";"2494904";"HD 9762/90 AIRFRYER 1,4KG"
"M299";"190553508";"2457194";"HX 6839/28 PROTECTIVECLEAN WEISS"
"S085";"190296432";"2508141";"HX 9903/13 DIAMONDCLEAN SMART"
"M180";"190398281";"2457190";"HX 6807/35 PROTECTIVECLEAN 2ER-PACK"
"M166";"190429519";"2673181";"HD 9318/20"
"S313";"190299966";"2670816";"S 7788/55"
"M065";"190490230";"2161389";"HD 2637/90 2-SCHLITZ EDELSTAHL-SW"
"M115";"190328748";"2226511";"HR 3655/00 35.000 U/MIN. 1400W EDELSTAHL"
"M046";"190372023";"1387960";"HP 6341/00 LADYSHAVE WET & DRY (ONLY BATTERY)"
"S210";"190574908";"2519397";"SM 7683/10 XELSIS EDELSTAHL FRONT"
"M109";"190389479";"2229915";"HX 8432/01 AIRFLOSS ULTRA"
"M065";"190490230";"2670584";"HD 6562/32 SENSEO VIVA CAFE"
"M158";"190439499";"2712916";"CSA 240/20 SENSEO SELECT ECO"
