"SAP Buchungskreis";"order number";"article number";"article name"
"M068";"190514179";"2583343";"HX9611/19 EXPERTCLEAN WHITE"
"M167";"190417614";"2660341";"HX 9911/27 DIAMONDCLEAN PREMIUM MIT LADEGLAS"
"M014";"190426559";"2312203";"HD 6554/10 SENSEO ORIGINAL WEISS"
"S069";"190348427";"2161393";"HR 1921/20 AVANCE 1100W EDELSTAHL"
"S042";"190338532";"2735553";"MD 10444 FILTER"
"S315";"190414705";"2395807";"BRE 644/00 SATINELLE PRESTIGE"
"S104";"190398395";"2457203";"GC 2997/40 POWERLIFE 2400W ROT"
"GW04";"314880647";"2739489";"BRI947/00 IPL HAIR REMOVAL KABELGEBUNDEN"
"S296";"190131648";"2027026";"BT 5200/16 BEARD TRIMMER SERIES 5000 BLACK"
"M115";"190328441";"2112374";"FC 8577/09"
"M202";"190471195";"2716526";"FYM220/30 FILTER FÜR FYM220"
"S072";"190399818";"2388509";"SM 5570/10 PICOBARISTO DELUXE"
"M227";"190432858";"2374429";"SM 5473/10 PICOBARISTO"
"S042";"190338532";"2728514";"30812 COVID-19 ANITIGEN RAPID TEST 5ST."
"M224";"190282306";"2457232";"FC 8253/09 POWERGO PROMO 750W GRAU"
"M058";"190433333";"1378137";"HQ 8/50"
"M175";"190424651";"2583321";"XC8147/01 SPEEDPRO MAX+ AQUA"
"S064";"190325629";"2395979";"HD 9350/90 2200W 1.7L EDELSTAHL/SW"
"S010";"190382993";"2229912";"HR 3556/00 27.000U/MIN 900W EDELS."
"M142";"190328737";"1052031";"HD 4646/20 KETTLE 1,5 L BLACK"
"M023";"190501641";"2312276";"HX 9369/89 DIAMONDCLEAN PINK"
"S048";"190412207";"2663580";"E1205BK/00"
"S210";"190573232";"2528072";"EP 2220/10 2200 PANARELLO SW"
"M116";"190549880";"2566163";"SHB 3075RD/00"
"M306";"190263104";"2528100";"SCD 733/26 AUDIO-BABYPHONE DECT"
"M132";"190322807";"2728698";"HX9992/11 SONICARE PRESTIGE CHAMPAGNE"
"S308";"192305992";"1388034";"HD 9140/91"
"M292";"190132470";"2229913";"HR 3741/00 450W WEISS"
"M131";"190437448";"2027032";"SC 1997/00"
"S029";"190356072";"2666734";"76199800 LEDCLA 40W E27 A60 WW CL ND"
"M226";"190398861";"1930349";"HX6732/42 SONICARE HEALTHYWHITE"
"S083";"190320333";"2457237";"FC 9929/09 POWERPRO ULTIMATE 650W"
"M229";"190250162";"2623827";"HD 6554/65 SENSEO ORIGINAL SW"
"M089";"190521497";"2457195";"HX 6851/34 PROTECTIVECLEAN 2ER-PACK"
"M065";"190487033";"2528075";"EP 3246/70 3200 LATTEGO SW"
"S320";"190273665";"2528106";"HX 9901/13 DIAMONDCLEAN SMART SW"
"M153";"190453015";"2716504";"QP6550/15 ONEBLADE PRO FACE & BODY"
"S006";"190681267";"2395993";"SCD 585/26 AVENT DECT BABYPHONE"
"S096";"190445981";"2052171";"51180000 HUE BRIDGE EU"
"M296";"190097359";"6808732";"HD 7982/70 SENSEO WASSERTANK"
"M027";"190541106";"2643594";"QP 6620/20 ONEBLADE PRO FACE + BODY"
"M223";"190395951";"2395819";"CA 6700/22 FLÜSSIG-ENTKALKER 2X"
"M257";"190175645";"1364951";"HD 9220/20 AIRFRYER SCHWARZ/SILBER"
"M073";"190362586";"2229884";"BT 9297/15 LASER-GUIDE-TECHNOLOGIE"
"M027";"190544688";"2511333";"HX 9903/03 DIAMONDCLEAN SMART W"
"S069";"190349182";"2161378";"SCH 740/86 AVENT SMART OHRTHERMOMETER"
"M031";"1491736";"2716530";"XC8347/01 SPEEDPRO MAX AQUA DOPPELDÜSE"
"M156";"190392003";"2583341";"HX9601/03 EXPERTCLEAN WHITE-GOLD"
"M058";"190433333";"2161376";"RQ 12/70 SCHEREINHEIT SERIES 9000"
"S040";"190585551";"2528104";"FC 8079/01 MINITURBODÜSE SPEEDPRO"
"M018";"190540015";"2457238";"FC 6904/01 SPEEDPRO MAX AQUA 25 2V"
"S202";"190314260";"2528071";"S 7960/17 SERIES 7000 ANTHRAZIT"
"S023";"190514187";"2410931";"HC 3530/15 INKL. BARTKAMM SILBER"
"M062";"190511642";"2528074";"EP 2231/40 2200 LATTEGO SW"
"S202";"190315878";"2112399";"QP 6510/20"
"S318";"190264266";"2643591";"HX 8438/03 AIRFLOSS ULTRA + ZUB SW"
"M066";"190457595";"1980336";"HX 8032/07 AIR FLOSS ULTRA 2ER PACK"
"M126";"982818349";"1980355";"HD 8858/01 EVO EDELSTAHL"
"M065";"190490230";"2161387";"HD 2637/00 2-SCHLITZ EDELSTAHL-WEISS"
"M223";"190394394";"2571786";"90YV0DF0-M0NA00 DUAL-RTX2060S-O8G-EVO-SUPER"
"M014";"190426559";"2213019";"HD 7865/60 SENSEO QUADRANTE SCHWARZ"
"S076";"190848779";"2670808";"BRE 700/00"
"M204";"190248564";"2217955";"HX 8462/01 AIRFLOSS ULTRA KOMBI"
"M237";"190341379";"2302972";"BHB 872/00 CURLER"
"M160";"190281754";"2312220";"SM 7683/00 SAECO XELSIS FRONT EDELS."
"M144";"190540032";"2312270";"HX 9924/43 DIAMONDCLEAN SMART"
"M141";"190321755";"2716505";"QP6650/60 ONEBLADE PRO FACE & BODY"
"S042";"190338532";"1651526";"207985 TEPPICH TIEFENREINIGUNGSDÜSE"
"M177";"190365192";"2312274";"HX 9359/89 DIAMONDCLEAN SCHWARZ"
"M279";"190322502";"2457171";"MG 7745/15 MULTIGROOM EDELSTAHL"
"M153";"190453015";"2583350";"S 3233/52 SERIES 3000"
"S040";"190585551";"2112369";"HD 9932/00"
"S086";"191074079";"2457201";"EP 5335/10 PHILIPS 5000 LATTEGO"
"S096";"190474620";"2312273";"HX 9339/89 DIAMONDCLEAN WEISS"
"S213";"190878078";"2457183";"SP 9820/18 S9000 PRESTIGE"
"S096";"190445981";"2125526";"54873800 HUE LED E27 ERWEITERUNG WHITE AMBIANCE"
"M104";"981428707";"2312219";"SM 7580/00 XELSIS PIANO BLACK"
"M291";"190168247";"2395868";"GC 2675/85 EASYSPEED ADVANCED 2.400 W"
"M154";"190489308";"2395926";"HD 6563/60 SENSEO VIVA CAFÉ SW"
"M174";"190403411";"1591155";"FC 6149/01"
"M257";"190174201";"2663300";"TAM 3505/12"
"S044";"190520653";"2528101";"BHS 378/00 HAARGLÄTTER THERMOPROTECT"
"GW03";"206612164";"2583344";"HX9392/40 DIAMONDCLEAN DOPPELPACK"
"S040";"190582389";"2494904";"HD 9762/90 AIRFRYER 1,4KG"
"M114";"190452166";"2312217";"HD 6574/50 SENSEO LATTE DUO SW/MET."
"M279";"190322502";"2457194";"HX 6839/28 PROTECTIVECLEAN WEISS"
"M116";"190550883";"2508141";"HX 9903/13 DIAMONDCLEAN SMART"
"S318";"190261089";"2457190";"HX 6807/35 PROTECTIVECLEAN 2ER-PACK"
"S078";"1723948";"2229882";"BSC 200/01 VISAPURE ESSENTIAL"
"S084";"190386809";"2173358";"B8/12 FIDELIO B8"
"M115";"190329498";"2112375";"FC 6404/01"
